algorithm,feature_1,feature_2,class_1_pos,class_2_neg,accuracy,final_train_mse,epochs_run,w1,w2,b,mean_1,mean_2,std_1,std_2,cm_tn,cm_fp,cm_fn,cm_tp
perceptron,gender,fin_length,A,B,1.0,0.0,2,1.2301533574825534e-05,-0.004166239532756771,0.0012586214463778242,0.0,200.33333333333334,0.983192080250175,15.842628850316759,20,0,0,20
perceptron,gender,beak_length,A,C,1.0,0.13333333333333333,100,0.003947332016580823,-0.007462005144429426,0.0012586214463778242,0.03333333333333333,43.67166666666667,0.9826268648655783,5.52054018089615,20,0,0,20
perceptron,beak_depth,fin_length,A,B,1.0,0.0,2,0.004205524024311308,-0.0037454339499425667,-0.0007413785536221759,16.75166666666666,200.33333333333334,2.2647657470230533,15.842628850316759,20,0,0,20
perceptron,body_mass,beak_depth,A,B,1.0,0.0,2,-0.0027675377719484856,0.004001541123107669,-0.0007413785536221759,4367.916666666667,16.75166666666666,840.2763888877411,2.2647657470230533,20,0,0,20
perceptron,gender,beak_depth,B,C,1.0,0.0,41,0.0038492501938047793,-0.01180069882149722,0.0012586214463778242,0.05,16.60333333333333,0.990370301116372,2.12422273366571,20,0,0,20
perceptron,body_mass,beak_depth,B,C,1.0,0.0,2,0.0034878843657811355,-0.002947264401175157,-0.0007413785536221759,4364.583333333333,16.60333333333333,826.0005506791276,2.12422273366571,20,0,0,20
perceptron,beak_length,beak_depth,A,C,1.0,0.0,2,-0.006824589802520195,0.002176219311794964,-0.0007413785536221759,43.67166666666667,18.621666666666666,5.52054018089615,1.039565881617044,20,0,0,20
adaline,beak_depth,fin_length,A,B,1.0,0.04496490404636103,100,0.4706221986937708,-0.5738517434411706,2.403707776975895e-05,16.75166666666666,200.33333333333334,2.2647657470230533,15.842628850316759,20,0,0,20
adaline,gender,beak_depth,A,B,1.0,0.1455502003768639,100,-0.23081057052241305,0.9487747167632248,0.0005796925538497529,0.0,16.75166666666666,0.983192080250175,2.2647657470230533,20,0,0,20
adaline,gender,fin_length,A,B,1.0,0.11974593863130935,100,0.1239278445684597,-0.9433920247847299,-0.0003884021335509546,0.0,200.33333333333334,0.983192080250175,15.842628850316759,20,0,0,20
adaline,body_mass,beak_depth,A,B,1.0,0.07399299018261954,100,-0.4415081990509491,0.6386447538372954,-3.3413923389577434e-05,4367.916666666667,16.75166666666666,840.2763888877411,2.2647657470230533,20,0,0,20
perceptron,beak_depth,fin_length,B,C,1.0,0.0,2,-0.002909551513330476,0.003912838251645254,-0.0007413785536221759,16.60333333333333,204.63333333333333,2.12422273366571,11.59880262019413,20,0,0,20
adaline,body_mass,fin_length,A,B,1.0,0.14828194940719236,100,-0.20860128189598326,-0.719901622327767,-0.0008170593759292342,4367.916666666667,200.33333333333334,840.2763888877411,15.842628850316759,20,0,0,20
adaline,beak_length,beak_depth,A,B,1.0,0.0670350005344217,100,-0.46422527505741273,0.6097436552643083,0.00041989083795431175,42.945,16.75166666666666,5.003812712988633,2.2647657470230533,20,0,0,20
adaline,beak_length,fin_length,A,B,1.0,0.1408800659179517,100,-0.2738024602993145,-0.6696940121069532,-0.0005167518952057593,42.945,200.33333333333334,5.003812712988633,15.842628850316759,20,0,0,20
adaline,beak_length,beak_depth,A,C,1.0,0.1295083878190255,100,-0.9272510016777309,0.29040382743804194,0.0002775888562744199,43.67166666666667,18.621666666666666,5.52054018089615,1.039565881617044,20,0,0,20
adaline,beak_depth,fin_length,B,C,1.0,0.07249249489546875,100,-0.5608983546454968,0.5110917330052245,0.00025317559308222213,16.60333333333333,204.63333333333333,2.12422273366571,11.59880262019413,20,0,0,20
adaline,gender,body_mass,B,C,1.0,0.26193965153190696,100,-0.322811385556542,0.9058164654764711,-0.0010983351714664129,0.05,4364.583333333333,0.990370301116372,826.0005506791276,20,0,0,20
adaline,body_mass,beak_depth,B,C,1.0,0.08052792573377054,100,0.46914631781592064,-0.6211225910740419,-0.0001757781688633228,4364.583333333333,16.60333333333333,826.0005506791276,2.12422273366571,20,0,0,20
adaline,gender,beak_depth,B,C,1.0,0.12358424487664076,100,0.34258147181449544,-0.9923792148085738,0.0014885086591831258,0.05,16.60333333333333,0.990370301116372,2.12422273366571,20,0,0,20
perceptron,gender,fin_length,B,C,0.975,0.2,100,-0.004026591792983021,0.007470676764632712,-0.002741378553622176,0.05,204.63333333333333,0.990370301116372,11.59880262019413,20,0,1,19
perceptron,body_mass,fin_length,B,C,0.975,0.26666666666666666,100,0.0017929702415121578,0.004774996211173721,-0.0007413785536221759,4364.583333333333,204.63333333333333,826.0005506791276,11.59880262019413,19,1,0,20
adaline,gender,beak_length,A,C,0.975,0.13072462269799087,100,0.29352610768098736,-0.9785220091510232,0.000765091919272437,0.03333333333333333,43.67166666666667,0.9826268648655783,5.52054018089615,20,0,1,19
perceptron,beak_length,beak_depth,A,B,0.975,0.0,2,-0.0009649532680101329,0.004001541123107669,-0.0007413785536221759,42.945,16.75166666666666,5.003812712988633,2.2647657470230533,20,0,1,19
perceptron,body_mass,beak_length,A,C,0.975,0.13333333333333333,100,0.003153044772176334,-0.013631087435419693,-0.0007413785536221759,3697.5,43.67166666666667,447.3463423344378,5.52054018089615,20,0,1,19
perceptron,gender,beak_depth,A,B,0.975,0.13333333333333333,100,-0.004056079488150037,0.01164177206358245,-0.002741378553622176,0.0,16.75166666666666,0.983192080250175,2.2647657470230533,20,0,1,19
perceptron,gender,body_mass,A,B,0.975,0.0,4,0.004080682555299689,-0.00788495929007836,-0.0007413785536221759,0.0,4367.916666666667,0.983192080250175,840.2763888877411,19,1,0,20
perceptron,body_mass,fin_length,A,B,0.975,0.0,2,-0.0020961317035077865,-0.003408789483691205,0.0012586214463778242,4367.916666666667,200.33333333333334,840.2763888877411,15.842628850316759,19,1,0,20
adaline,beak_length,fin_length,B,C,0.975,0.16272435004838354,100,-0.32970155909437915,0.8340865007167285,0.0004704404067481343,47.48333333333333,204.63333333333333,2.8839883649017883,11.59880262019413,19,1,0,20
adaline,body_mass,beak_length,B,C,0.975,0.21378360282942088,100,0.8023391991180719,-0.3814239465143043,-7.758547342654788e-05,4364.583333333333,47.48333333333333,826.0005506791276,2.8839883649017883,20,0,1,19
adaline,beak_length,beak_depth,B,C,0.975,0.1965584837386511,100,0.19119335814069416,-0.9676719644444612,5.85519191002389e-05,47.48333333333333,16.60333333333333,2.8839883649017883,2.12422273366571,19,1,0,20
perceptron,beak_length,fin_length,B,C,0.975,0.13333333333333333,100,-0.003304863952629176,0.007189038497853417,-0.0007413785536221759,47.48333333333333,204.63333333333333,2.8839883649017883,11.59880262019413,19,1,0,20
adaline,gender,fin_length,B,C,0.975,0.2032907503476266,100,-0.26502706829681355,0.9215569016300892,-0.00022589051505840196,0.05,204.63333333333333,0.990370301116372,11.59880262019413,19,1,0,20
adaline,gender,body_mass,A,B,0.95,0.207277012915692,100,0.39745828606290606,-0.9639317267551858,-0.0003358874622763887,0.0,4367.916666666667,0.983192080250175,840.2763888877411,18,2,0,20
adaline,gender,beak_length,A,B,0.95,0.2426730321470605,100,0.25412396362206585,-0.9009391602294038,0.0004395956379682788,0.0,42.945,0.983192080250175,5.003812712988633,19,1,1,19
adaline,body_mass,beak_length,A,C,0.95,0.18246995776714284,100,0.17612479353118193,-0.9190123622992388,-0.0002999286160474342,3697.5,43.67166666666667,447.3463423344378,5.52054018089615,19,1,1,19
perceptron,beak_length,fin_length,A,B,0.95,0.0,2,-0.0022040084356638647,-0.0034929506002540443,-0.0007413785536221759,42.945,200.33333333333334,5.003812712988633,15.842628850316759,20,0,2,18
perceptron,body_mass,beak_length,B,C,0.95,0.0,6,0.011478193808763418,-0.0050454018127616684,-0.0007413785536221759,4364.583333333333,47.48333333333333,826.0005506791276,2.8839883649017883,20,0,2,18
perceptron,beak_length,fin_length,A,C,0.925,0.26666666666666666,100,-0.010835670712674515,0.0004391634559002622,0.0012586214463778242,43.67166666666667,190.16666666666666,5.52054018089615,8.110007535275304,18,2,1,19
perceptron,gender,beak_length,A,B,0.925,0.13333333333333333,100,1.2301533574825534e-05,-0.008781570241548728,-0.0007413785536221759,0.0,42.945,0.983192080250175,5.003812712988633,19,1,2,18
adaline,body_mass,fin_length,B,C,0.925,0.2654656789380904,100,0.3192644673882813,0.5587893843241387,0.000725142818625107,4364.583333333333,204.63333333333333,826.0005506791276,11.59880262019413,17,3,0,20
perceptron,body_mass,beak_length,A,B,0.9,0.26666666666666666,100,-0.003600597000146694,-0.006303459906241478,-0.0007413785536221759,4367.916666666667,42.945,840.2763888877411,5.003812712988633,18,2,2,18
adaline,beak_length,fin_length,A,C,0.9,0.21497680883892242,100,-0.84982161551036,-0.025292344388512116,-0.0005255214712796241,43.67166666666667,190.16666666666666,5.52054018089615,8.110007535275304,18,2,2,18
adaline,body_mass,beak_length,A,B,0.9,0.2741055169793018,100,-0.389292862314177,-0.4950347512675442,-0.0004885778270077124,4367.916666666667,42.945,840.2763888877411,5.003812712988633,18,2,2,18
perceptron,beak_length,beak_depth,B,C,0.875,0.13333333333333333,100,-0.0006696244722999608,-0.006525043642283693,-0.0007413785536221759,47.48333333333333,16.60333333333333,2.8839883649017883,2.12422273366571,18,2,3,17
perceptron,gender,body_mass,B,C,0.85,0.26666666666666666,100,-8.867079958910619e-05,0.005978777028928504,-0.0007413785536221759,0.05,4364.583333333333,0.990370301116372,826.0005506791276,18,2,4,16
perceptron,body_mass,fin_length,A,C,0.75,1.1333333333333333,100,0.002493600462292038,-0.007205712301652898,0.0012586214463778242,3697.5,190.16666666666666,447.3463423344378,8.110007535275304,15,5,5,15
adaline,beak_depth,fin_length,A,C,0.725,0.5828917744782555,100,0.32442361703175965,-0.6466122104868384,0.0010791290425344593,18.621666666666666,190.16666666666666,1.039565881617044,8.110007535275304,16,4,7,13
perceptron,beak_depth,fin_length,A,C,0.725,1.0,100,0.0014680373941815088,-0.005232841138413278,0.0012586214463778242,18.621666666666666,190.16666666666666,1.039565881617044,8.110007535275304,13,7,4,16
perceptron,gender,fin_length,A,C,0.7,1.3333333333333333,100,0.0019798167750778245,-0.004698521865036168,-0.0007413785536221759,0.03333333333333333,190.16666666666666,0.9826268648655783,8.110007535275304,18,2,10,10
adaline,body_mass,fin_length,A,C,0.675,0.6112026252955098,100,0.28704189953620823,-0.6818468909607174,0.0002707609803041989,3697.5,190.16666666666666,447.3463423344378,8.110007535275304,15,5,8,12
adaline,gender,fin_length,A,C,0.65,0.6656855186881978,100,0.13979158738911981,-0.5995592568377879,0.0006293579769969812,0.03333333333333333,190.16666666666666,0.9826268648655783,8.110007535275304,14,6,8,12
adaline,gender,beak_length,B,C,0.65,0.765384251056538,100,0.34876478561820246,-0.5804629737604946,0.0026219382719288413,0.05,47.48333333333333,0.990370301116372,2.8839883649017883,15,5,9,11
perceptron,gender,body_mass,A,C,0.575,2.466666666666667,100,-5.554381958044986e-05,-0.0010250955952284505,-0.0007413785536221759,0.03333333333333333,3697.5,0.9826268648655783,447.3463423344378,18,2,15,5
perceptron,gender,beak_length,B,C,0.55,1.5333333333333334,100,1.2301533574825534e-05,-0.003253901288852706,-0.002741378553622176,0.05,47.48333333333333,0.990370301116372,2.8839883649017883,18,2,16,4
perceptron,gender,beak_depth,A,C,0.5,2.533333333333333,100,1.2301533574825534e-05,-0.0004755286105009304,-0.002741378553622176,0.03333333333333333,18.621666666666666,0.9826268648655783,1.039565881617044,20,0,20,0
perceptron,body_mass,beak_depth,A,C,0.5,2.066666666666667,100,-0.0014407113526110952,0.00010163538709760276,-0.002741378553622176,3697.5,18.621666666666666,447.3463423344378,1.039565881617044,20,0,20,0
adaline,gender,beak_depth,A,C,0.5,0.9613412826214448,100,-0.14796637064034773,0.22650731009059663,0.001671319093150685,0.03333333333333333,18.621666666666666,0.9826268648655783,1.039565881617044,11,9,11,9
adaline,body_mass,beak_depth,A,C,0.5,0.9701777996455091,100,-0.10173706535992862,0.1981577423227978,0.002522111863012882,3697.5,18.621666666666666,447.3463423344378,1.039565881617044,11,9,11,9
adaline,gender,body_mass,A,C,0.475,1.0018262861878104,100,-0.03489817297064038,0.007381315824131947,0.0017614862975650863,0.03333333333333333,3697.5,0.9826268648655783,447.3463423344378,9,11,10,10
